id,type,prob_Ia
1288321522015010000,AMHer,0.774
1418248312515015011,QSO,0.343
1372374023915010000,EB*Algol,0.215
1387425911015010072,EB*,0.497
1293451874715015025,QSO,0.742
1279323061015015002,RRLyr,0.676
1373178965115010003,Em*,0.201
1365196014015015006,RRLyr,0.299
1544162851215010005,LPV*,0.433
1341410424915015001,EB*,0.776
1375225193715010010,QSO,0.243
1419334344815020002,TTau*,0.205
1526244695115015005,HotSubdwarf,0.379
1284361404815015004,RRLyr,0.769
1361323594815010003,EB*,0.805
1292491142515015000,RRLyr,0.78
1524423580015010003,QSO,0.765
1151185306015015015,Ia,0.833
1520341141415015005,EB*,0.67
1403245811715015002,RRLyr,0.297
1428212411615015000,RRLyr,0.246
1428174312215015002,RRLyr,0.343
1528524822015010069,RRLyr,0.409
1303411463215010009,RRLyr,0.433
1364225313615010034,RRLyr,0.773
1528512524815015004,QSO,0.266
1354267985015015008,C*,0.247
1287227603615015004,RRLyr,0.789
1358194722115010056,Star,0.279
1343414585315015004,YSO,0.488
1391499686215015024,EB*,0.601
1396214470515015017,Mira,0.274
1341289083815015009,LPV*,0.397
1390339274115010010,SNII,0.468
1428211460915010002,SNII,0.709
1387502846015015021,AGN,0.775
1306457984415010011,QSO,0.658
1417442702015010035,RRLyr,0.385
1306437226015015009,PulsV*,0.223
1290333005715015026,deltaCep,0.156
1425346841615010003,RRLyr,0.315
1291276961015010037,Star,0.425
1300442926115015002,EB*,0.482
1305308054915010019,PulsV*,0.229
1472122076315015013,SLSN-II,0.699
1399240276215010004,RRLyr,0.338
1537381552915010009,QSO,0.727
1361200626215010011,RRLyr,0.618
1295308940215010012,RRLyr,0.602
1547502656215015001,Mira,0.142
1397116572415010020,LPV*,0.777
1388511674115015011,QSO,0.525
1414204280515010062,Star,0.341
1339445531515010009,AGN,0.403
1525142196215010006,EB*,0.845
1060191593315010004,Ia,0.693
1361265473015015004,RRLyr,0.195
1395520261315015008,RRLyr,0.169
1424117836215010012,V*,0.266
1340355614515010003,C*,0.495
1300344085615010000,RRLyr,0.236
1341406115615010005,EB*betLyr,0.211
1375469004115015003,RRLyr,0.739
1278205574815015009,QSO,0.271
1343312295915010002,RRLyr,0.771
1365244543415010012,Mira,0.71
1302399382015010023,SNII,0.754
1337301531415015010,Ia,0.78
1414215024115010017,QSO,0.791
1403363791015010008,BLLac,0.793
1150297110415015003,Ia,0.788
1404380594615015010,EB*,0.646
1339339960715015005,LPV*,0.33
1151233195615015001,Ia,0.794
1403239895915010009,S*,0.255
1344295960815010004,RRLyr,0.669
1365256772515015000,RRLyr,0.349
1344353852815010015,Star,0.139
1303391863115015027,RRLyr,0.711
